alias;city;inCity;address;fullAddress;coordinates;phone;yandex
lyubertcy;Люберцы;в Люберцах;Котельнический проезд, 25;Люберцы, Котельнический проезд, 25;55.664609, 37.887327;84954093741;b5a9f2fa4fe1ec1e
malahovka;Малаховка;в Малаховке;Шоссейная улица, 40с5;городской округ Люберцы, посёлок городского типа Малаховка, Шоссейная улица, 40с5;55.637083, 38.008124;84954093741;0a8d939850b04ce2
moscow;Москва;в Москве;;Москва;55.755814, 37.617635;84954093741;2882d8a93f35322b
moskovskii;Московский;в Московском;Радужная улица, 3;Московский, микрорайон Град Московский, Радужная улица, 3;55.593354, 37.371524;84954093741;94b70e3f40bd1d91
mytishchi;Мытищи;в Мытищах;улица Колпакова, 50с1;Мытищи, улица Колпакова, 50с1;55.923544, 37.715516;84954093741;14c3722a9abe9fd5
nahabino;Нахабино;в Нахабино;Институтская улица, 17Ас1;городской округ Красногорск, рабочий посёлок Нахабино, Институтская улица, 17Ас1;55.841372, 37.177182;84954093741;da1b7e04f8ae4955
novogorsk;Новогорск;в Новогорске;Ивановская улица, 15Вс1;Химки, микрорайон Новогорск, Ивановская улица, 15Вс1;55.905068, 37.340487;84954093741;49619a45dd2597f8
odintcovo;Одинцово;в Одинцово;Западная улица, 7;Одинцово, Западная улица, 7;55.671372, 37.249209;84954093741;7e30f3c57b5e4385
opaliha;Опалиха;в Опалихе;улица Мира, 25;Красногорск, микрорайон Опалиха, улица Мира, 25;55.825168, 37.265954;84954093741;2f4973a377beb836
petrovo-dalnee;Петрово-Дальнее;в Петрово-Дальнее;Промышленная улица, с1;городской округ Красногорск, село Петрово-Дальнее, Промышленная улица, с1;55.759740, 37.168055;84954093741;9feace978aa44106
pirogovo;Пирогово;в Пирогово;Совхозная улица, 27/2;городской округ Мытищи, деревня Пирогово, Совхозная улица, 27/2;55.974181, 37.734704;84954093741;c5744df0ccd47aef
podolsk;Подольск;в Подольске;Рощинская улица, 3с2;Подольск, Рощинская улица, 3с2;55.427428, 37.570429;84954093741;3a81c0bc0bc88339
putilkovo;Путилково;в Путилково;Путилковское шоссе, 28;городской округ Красногорск, деревня Путилково, Путилковское шоссе, 28;55.867874, 37.387604;84954093741;c389d10ce50ccb85
pushkino;Пушкино;в Пушкине;Кудринское шоссе, 6с6;Московская область, Пушкино, Кудринское шоссе, 6с6;55.990891, 37.853811;84954093741;12877f19048be05a
rastorguevo;Расторгуево;в Расторгуево;Сосновая улица, 15к1;Видное, район Расторгуево, Сосновая улица, 15к1;55.538590, 37.669432;84954093741;17e9bb6208af8824
reutov;Реутов;в Реутове;улица Гагарина, 33/2Б;Реутов, улица Гагарина, 33/2Б;55.759881, 37.875649;84954093741;1ac525cf216ea481
rublevo;Рублево;в Рублево;улица Василия Ботылёва, 52с248;посёлок Рублёво, улица Василия Ботылёва, 52с248;55.793019, 37.353674;84954093741;5ac9fe07c7ad2fb1
saltykovka;Салтыковка;в Салтыковке;Носовихинское шоссе, вл255;Балашиха, микрорайон Салтыковка, Носовихинское шоссе, вл255;55.752485, 37.939313;84954093741;c027362d0e481fa9
shodnya;Сходня;в Сходне;Железнодорожная улица, 8;Химки, микрорайон Сходня, Железнодорожная улица, 8;55.948977, 37.306854;84954093741;ef8f844f56c5cb83
tomilino;Томилино;в Томилино;улица Гаршина, 11с7;городской округ Люберцы, посёлок городского типа Томилино, улица Гаршина, 11с7;55.663167, 37.963172;84954093741;ae657c223c8012cf
troitck;Троицк;в Троицке;Физическая улица, 27с35;Троицк, Физическая улица, 27с35;55.454902, 37.274757;84954093741;ffe5becdfb7e1366
himki;Химки;в Химках;улица Горшина, 3к2;Химки, улица Горшина, 3к2;55.886292, 37.432654;84954093741;8cbe21192e0cf796
shchelkovo;Щелково;в Щелково;Заводская улица, 2к88;Щёлково, Заводская улица, 2к88;55.913818, 38.035478;84954093741;86b36d35b4d7ca20
shcherbinka;Щербинка;в Щербинке;Южная улица, 14;Щербинка, Южная улица, 14;55.492156, 37.560484;84954093741;3fb91ed8cae84553
