id;listtitle;keyword
111;Восстановление данных с сетевых хранилищ NAS;Восстановление данных с сетевых хранилищ NAS
111;;Восстановление данных с NAS
111;;Восстановление данных с сетевых хранилищ
111;;Восстановление сетевых хранилищ NAS
111;;Восстановление NAS
111;;Восстановление сетевых хранилищ
112;Восстановление данных с фотоаппарата;Восстановление данных с фотоаппарата
112;;Восстановление фото с фотоаппарата
113;Восстановление файлов архивов;Восстановление файлов архивов
113;;Восстановление zip
113;;Восстановление rar
113;;Восстановление 7z
114;Восстановление баз данных;Восстановление баз данных
114;;Восстановление mysql
114;;Восстановление mariadb
114;;Восстановление sql
114;;Восстановление баз данных 1c
115;Восстановление файлов документов;Восстановление файлов документов
115;;Восстановление doc
115;;Восстановление xls
115;;Восстановление файлов word
115;;Восстановление файлов excel
116;Восстановление аудиофайлов;Восстановление аудиофайлов
116;;Восстановление vaw
116;;Восстановление mp3
116;;Восстановление flac
117;Восстановление файлов изображений и фотографий;Восстановление файлов фотографий
117;;Восстановление файлов изображений
117;;Восстановление jpg
117;;Восстановление jpeg
117;;Восстановление bmp
117;;Восстановление tiff
118;Восстановление видео файлов;Восстановление видео файлов
118;;Восстановление avi
118;;Восстановление mpeg
119;Восстановление данных после падения;Восстановление данных после падения
120;Восстановление данных после удаления;Восстановление данных после удаления
121;Восстановление данных после шифрования;Восстановление данных после шифрования
121;;Восстановление зашифрованных данных
122;Восстановление данных после возгорания или пожара;Восстановление данных после возгорания
122;;Восстановление данных пожара
123;Восстановление данных после форматирования;Восстановление данных после форматирования
123;;Восстановление данных после формата
124;Восстановление данных после залития или попадания влаги;Восстановление данных после залития
124;;Восстановление данных попадания влаги
125;Восстановление данных после заражения вирусами;Восстановление данных после заражения вирусами
125;;Восстановление данных после вирусов
126;Восстановление данных после перезаписи;Восстановление данных после перезаписи
127;Монтаж роутера на стену;Монтаж роутера на стену
128;Настройка роутера;Настройка роутера
128;;Настройка wifi роутера
128;;Настройка wi fi роутера
128;;Настройка вай фай роутера
128;;Настройка вайфай роутера
128;;Настройка маршрутизатора
129;Подключение дополнительной антенны к Wi-Fi роутеру;Подключение дополнительной антенны к роутеру
129;;Подключение дополнительной антенны к Wi Fi роутеру
130;Настройка IPTV;Настройка IPTV
131;Настройка IP-камеры;Настройка IP камеры
131;;Настройка цифровой камеры
132;Настройка интернета через мобильный телефон;Настройка интернета через мобильный телефон
132;;Настройка интернета через мобильную сеть
133;Настройка интернета через локальную сеть;Настройка интернета через локальную сеть
134;Получение сетевых настроек от Интернет провайдера;Получение сетевых настроек от Интернет провайдера
135;Настройка браузера;Настройка браузера
135;;Настройка chrome
135;;Настройка opera
135;;Настройка safary
135;;Настройка firefox
135;;Настройка tor
136;Настройка почтового клиента;Настройка почтового клиента
136;;Настройка outlook
136;;Настройка thunderbird
136;;Настройка thebat
136;;Настройка bat
137;Настройка торрент клиента;Настройка торрент клиента
137;;Настройка utorrent
137;;Настройка bittorrent
138;Настройка родительского контроля;Настройка родительского контроля
138;;ограничить детей в интеренете
139;Регистрация почтового ящика;Регистрация почтового ящика
140;Регистрация аккаунта в социальной сети;Регистрация аккаунта в социальной сети
141;Выбор места установки роутера;Выбор места установки роутера
142;Прошивка роутера;Прошивка роутера
142;;Прошивка роутера программатором
