id;title;listtitle;longtitle;altimage;popular;phoneCallToActionTitle;seo_title;seo_h1;seo_description;layout;typePost;section;folder;sort;breadcrumbs;alias;banner;thumbnail;content
11;Замена батарейки БИОСа;Замена батарейки БИОСа ноутбука;Замена батарейки БИОСа ноутбука;Замена батарейки БИОСа ноутбука;false;Нужна замена батарейки БИОС'а ноутбука? Звоните!;Замена батарейки БИОСа ноутбука;Замена батарейки БИОСа ноутбука;Параметры конфигурации и настройки BIOS компьютера хранятся в специальной микросхеме динамической памяти CMOS, которую питает обычная батарейка. Она располагается на материнской плате в специальном отсеке рядом с микросхемой CMOS, но может быть и просто припаяна или прикреплена изолентой рядом с микросхемой.;service;repair-notebook;/services;repair/notebook;1100;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Ремонт устройств"", ""url"": ""/services/repair/""},{""name"": ""Ноутбук"", ""url"": ""/services/repair/notebook/""}]";zamena-batareiki-biosa-noutbuka;/assets/images/upload/services/repair/notebook/zamena-batareiki-biosa-noutbuka.jpg;/assets/images/upload/services/repair/notebook/thumb_zamena-batareiki-biosa-noutbuka.jpg;"Параметры конфигурации и настройки BIOS компьютера хранятся в специальной микросхеме динамической памяти CMOS, которую питает обычная батарейка.

Поэтому правильнее ее называть батарейка CMOS, а не BIOS. Стандартная батарейка типа CR2032 рассчитана на питание CMOS в течении 4-6 лет, потом ее меняют на новую без последствий для компьютера.

Она располагается на материнской плате в специальном отсеке рядом с микросхемой CMOS, но может быть и просто припаяна или прикреплена изолентой рядом с микросхемой."
12;Замена тачпада;Замена тачпада ноутбука;Замена тачпада ноутбука;Замена тачпада ноутбука;false;Нужна замена тачпада ноутбука? Звоните!;Замена тачпада ноутбука;Замена тачпада ноутбука;При поломке тачпада, если отсутствует компьютерная мышь, управлять ноутбуком становится крайне затруднительно, поэтому советуем как можно быстрее произвести замену вышедшего из строя компонента.;service;repair-notebook;/services;repair/notebook;1200;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Ремонт устройств"", ""url"": ""/services/repair/""},{""name"": ""Ноутбук"", ""url"": ""/services/repair/notebook/""}]";zamena-tachpada-noutbuka;/assets/images/upload/services/repair/notebook/zamena-tachpada-noutbuka.jpg;/assets/images/upload/services/repair/notebook/thumb_zamena-tachpada-noutbuka.jpg;"При поломке тачпада, если отсутствует компьютерная мышь, управлять ноутбуком становится крайне затруднительно, поэтому советуем как можно быстрее произвести замену вышедшего из строя компонента.

Если компьютерная мышь имеется в наличии, можно перейти на управление ноутбуком с помощью нее, но теперь вместе с ноутбуком мышь придется носить с собой, что не всегда удобно."
13;Замена материнской платы;Замена материнской платы ноутбука;Замена материнской платы ноутбука;Замена материнской платы ноутбука;false;Нужна замена материнской платы нотубка? Звоните!;Замена материнской платы ноутбука;Замена материнской платы ноутбука;Если материнская плата неремонтопригодная, берется в расчет целесообразность ее замены, так как стоимость покупки новой для некоторых моделей достигает половины стоимости самих ноутбуков и больше, поэтому иногда стоит обратить внимание на покупку аналогичной б/у платы с донора на разборке.;service;repair-notebook;/services;repair/notebook;1300;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Ремонт устройств"", ""url"": ""/services/repair/""},{""name"": ""Ноутбук"", ""url"": ""/services/repair/notebook/""}]";zamena-materinskoi-platy-noutbuka;/assets/images/upload/services/repair/notebook/zamena-materinskoi-platy-noutbuka.jpg;/assets/images/upload/services/repair/notebook/thumb_zamena-materinskoi-platy-noutbuka.jpg;"Системная плата выходит из строя по множеству причин, однако в большинстве случаев ее можно отремонтировать, заменив некоторые элементы или целые части.

Если материнская плата неремонтопригодная, берется в расчет целесообразность ее замены, так как стоимость покупки новой для некоторых моделей достигает половины стоимости самих ноутбуков и больше, поэтому иногда стоит обратить внимание на покупку аналогичной б/у платы с донора на разборке.

Мы сотрудничаем с многими поставщиками запасных частей (новых оригинальных и б/у) и наши специалисты подберут наиболее оптимальный вариант замены материнской платы для Вашего ноутбука."
14;Замена петель;Замена петель ноутбука;Замена петель ноутбука;Замена петель ноутбука;false;Нужна замена петель крышки матрицы нотбука? Звоните!;Замена петель ноутбука;Замена петель ноутбука;Петли являются механической деталью и на них оказывает воздействие сила трения, а смазка со временем высыхает, поэтому петли начинают заклинивать и в конечном итоге ломаются сами или ломают корпус ноутбука.;service;repair-notebook;/services;repair/notebook;1400;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Ремонт устройств"", ""url"": ""/services/repair/""},{""name"": ""Ноутбук"", ""url"": ""/services/repair/notebook/""}]";zamena-petel-noutbuka;/assets/images/upload/services/repair/notebook/zamena-petel-noutbuka.jpg;/assets/images/upload/services/repair/notebook/thumb_zamena-petel-noutbuka.jpg;"Петли являются механической деталью и на них оказывает воздействие сила трения, а смазка со временем высыхает, поэтому петли начинают заклинивать и в конечном итоге ломаются сами или ломают корпус ноутбука.

Чтобы этого избежать, необходимо вовремя производить смазку петель и стараться резко не открывать и закрывать крышку ноутбука."
15;Замена веб камеры;Замена веб камеры ноутбука;Замена веб камеры ноутбука;Замена веб камеры ноутбука;false;Не работает веб-камера нотбука? Звоните!;Замена веб камеры ноутбука;Замена веб камеры ноутбука;Если не удается устранить поломку программными методами (включение устройства в настройках Bios'а, исправление конфликта устройств, переустановка драйвера), то, скорее всего, вышла из строя сама камера или шлейф, соединяющий ее с материнской платой вследствие разных причин, например, после резкого закрытия крышки ноутбука или случайного падения или удара.;service;repair-notebook;/services;repair/notebook;1500;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Ремонт устройств"", ""url"": ""/services/repair/""},{""name"": ""Ноутбук"", ""url"": ""/services/repair/notebook/""}]";zamena-veb-kamery-noutbuka;/assets/images/upload/services/repair/notebook/zamena-veb-kamery-noutbuka.jpg;/assets/images/upload/services/repair/notebook/thumb_zamena-veb-kamery-noutbuka.jpg;"При поломке веб-камеры полноценное общение в приложениях с видеосвязью (Skype, Instant Messenger, Mail Agent и другими) становится невозможным.

Если не удается устранить поломку программными методами (включение устройства в настройках Bios'а, исправление конфликта устройств, переустановка драйвера), то, скорее всего, вышла из строя сама камера или шлейф, соединяющий ее с материнской платой вследствие разных причин, например, после резкого закрытия крышки ноутбука или случайного падения или удара.

Для каждой модели ноутбука предназначена своя штатная веб-камера, которую можно найти в продаже в специализированных магазинах. С некоторыми из них мы сотрудничаем и сможем подобрать веб-камеру под Вашу модель ноутбука и оперативно ее установить."
16;Замена Wi-Fi адаптера;Замена Wi-Fi адаптера ноутбука;Замена Wi-Fi адаптера ноутбука;Замена Wi-Fi адаптера ноутбука;false;Не работает Wi-Fi на нотбуке? Звоните!;Замена Wi-Fi адаптера ноутбука;Замена Wi-Fi адаптера ноутбука;С помощью Wi-Fi адаптера осуществляется беспроводное подключение к сети интернет при наличии устойчивого сигнала wi-fi, который обеспечивается клиентской сетью с помощью wi-fi роутера или глобальным покрытием определенной территории.;service;repair-notebook;/services;repair/notebook;1600;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Ремонт устройств"", ""url"": ""/services/repair/""},{""name"": ""Ноутбук"", ""url"": ""/services/repair/notebook/""}]";zamena-wi-fi-adaptera-noutbuka;/assets/images/upload/services/repair/notebook/zamena-wi-fi-adaptera-noutbuka.jpg;/assets/images/upload/services/repair/notebook/thumb_zamena-wi-fi-adaptera-noutbuka.jpg;"Wi-fi адаптер служит для приема сигналов беспроводной связи и присутствует в каждом современном ноутбуке.

С его помощью осуществляется беспроводное подключение к сети интернет при наличии устойчивого сигнала wi-fi, который обеспечивается клиентской сетью с помощью wi-fi роутера или глобальным покрытием определенной территории.

В большинстве ноутбуков Wi-fi адаптер располагается в легкодоступной части ноутбука под задней крышкой корпуса и имеет два подключенных провода антенны, поэтому, при поломке адаптера, сложностей его замены не возникает."
17;Замена разъема питания;Замена разъема питания ноутбука;Замена разъема питания ноутбука;Замена разъема питания ноутбука;false;Сломался разъем питания нотбука? Звоните!;Замена разъема питания ноутбука;Замена разъема питания ноутбука;Наиболее часто выход из строя разъема питания обусловлен механическими повреждениями вследствие резкого выдергивания зарядного устройства из разъема или использования неоригинальной зарядки. Чаще всего разъем питания припаян к материнской плате, поэтому его замену следует доверить специалисту со знанием радиоэлектроники и наличием паяльного оборудования.;service;repair-notebook;/services;repair/notebook;1700;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Ремонт устройств"", ""url"": ""/services/repair/""},{""name"": ""Ноутбук"", ""url"": ""/services/repair/notebook/""}]";zamena-razema-pitaniia-noutbuka;/assets/images/upload/services/repair/notebook/zamena-razema-pitaniia-noutbuka.jpg;/assets/images/upload/services/repair/notebook/thumb_zamena-razema-pitaniia-noutbuka.jpg;"Наиболее часто выход из строя разъема питания обусловлен механическими повреждениями вследствие резкого выдергивания зарядного устройства из разъема или использования неоригинальной зарядки.

Чаще всего разъем питания припаян к материнской плате, поэтому его замену следует доверить специалисту со знанием радиоэлектроники и наличием паяльного оборудования.

У нас есть опыт и оборудование, и мы быстро и качественно заменим разъем питания на Вашем ноутбуке.

Наличие запасных разъемов питания постоянно доступно в специализированных магазинах, с которыми мы сотрудничаем."
18;Замена USB разъема;Замена USB разъема ноутбука;Замена USB разъема ноутбука;Замена USB разъема ноутбука;true;Сломан USB разъем нотбука? Звоните!;Замена USB разъема ноутбука;Замена USB разъема ноутбука;В большинстве случаев поломка USB разъема вызвана физическим повреждением разъема вследствие неправильного подключения или отключения USB устройств, а также из-за короткого замыкания контактов, при котором может выйти из строя южный мост материнской платы или микросхема вторичного источника питания.;service;repair-notebook;/services;repair/notebook;1800;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Ремонт устройств"", ""url"": ""/services/repair/""},{""name"": ""Ноутбук"", ""url"": ""/services/repair/notebook/""}]";zamena-usb-razema-noutbuka;/assets/images/upload/services/repair/notebook/zamena-usb-razema-noutbuka.jpg;/assets/images/upload/services/repair/notebook/thumb_zamena-usb-razema-noutbuka.jpg;"В большинстве случаев поломка USB разъема вызвана физическим повреждением разъема вследствие неправильного подключения или отключения USB устройств, а также из-за короткого замыкания контактов, при котором может выйти из строя южный мост материнской платы или микросхема вторичного источника питания.

Поэтому после проведения диагностики причины поломки USB разъема принимается решение о замене разъема или дальнейшем ремонте южного моста или цепи вторичного питания."
19;Замена шлейфа матрицы;Замена шлейфа матрицы ноутбука;Замена шлейфа матрицы ноутбука;Замена шлейфа матрицы ноутбука;false;Сломался шлейф матрицы нотбука? Звоните!;Замена шлейфа матрицы ноутбука;Замена шлейфа матрицы ноутбука;При повреждениях шлейфа экран компьютера может не гореть или работать с искажениями, полосами, мерцанием подсветки, в этом случае ноутбук лучше не использовать, чтобы не вывести из строя другие дорогостоящие компоненты ноутбука.;service;repair-notebook;/services;repair/notebook;1900;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Ремонт устройств"", ""url"": ""/services/repair/""},{""name"": ""Ноутбук"", ""url"": ""/services/repair/notebook/""}]";zamena-shleifa-matritcy-noutbuka;/assets/images/upload/services/repair/notebook/zamena-shleifa-matritcy-noutbuka.jpg;/assets/images/upload/services/repair/notebook/thumb_zamena-shleifa-matritcy-noutbuka.jpg;"Шлейф матрицы является не надежной частью ноутбука, так как при длительной эксплуатации (из-за вибрации крышки экрана, ударов, падений) шлейф может повредиться (перетереться, переломиться) в месте прохождения через петлю корпуса ноутбука или в месте подсоединения штекера к матрице.

При повреждениях шлейфа экран компьютера может не гореть или работать с искажениями, полосами, мерцанием подсветки, в этом случае ноутбук лучше не использовать, чтобы не вывести из строя другие дорогостоящие компоненты ноутбука.

"
20;Снятие пароля жесткого диска;Снятие пароля жесткого диска ноутбука;Снятие пароля жесткого диска ноутбука;Снятие пароля жесткого диска ноутбука;false;Запаролен жесткий диск ноутбука? Звоните!;Снятие пароля жесткого диска ноутбука;Снятие пароля жесткого диска ноутбука;Не можете получить доступ к данным на своем жестком диске? Требует пароль? Обращайтесь, мы поможем {% inCity %}.;service;repair-notebook;/services;repair/notebook;2000;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Ремонт устройств"", ""url"": ""/services/repair/""},{""name"": ""Ноутбук"", ""url"": ""/services/repair/notebook/""}]";sniatie-parolia-zhestkogo-diska-noutbuka;/assets/images/upload/services/repair/notebook/sniatie-parolia-zhestkogo-diska-noutbuka.jpg;/assets/images/upload/services/repair/notebook/thumb_sniatie-parolia-zhestkogo-diska-noutbuka.jpg;Не можете получить доступ к данным на своем жестком диске? Требует пароль? Обращайтесь, мы поможем {% inCity %}.
